FeedbackID,UserID,ProductID,FeedbackText,Rating,FeedbackDate
1,1,3,Great product for immersion!,5,2023-01-20
2,2,7,"Good fun, but a bit repetitive",4,2023-03-12
3,3,12,The app was useful for travel planning,5,2023-06-10
4,4,8,"Not bad, could use more exercises",3,2023-07-25
5,5,5,"VR Headset is fantastic, highly recommended",5,2023-09-10
6,6,14,The AR goggles were a bit bulky,3,2023-12-10
7,7,19,"Scary but amazing, love the atmosphere",5,2023-11-05
8,8,20,Convenient for online shopping,4,2023-08-25
9,9,2,AR glasses were underwhelming,2,2023-05-20
10,10,9,"Very comfortable, I use it all the time",5,2023-10-28
11,11,11,Awesome racing experience,4,2023-04-15
12,12,6,Couldn’t get them to fit well,2,2023-02-15
13,13,4,Helped me navigate new cities easily,5,2023-09-30
14,14,17,"Great product, really immersive",5,2023-06-25
15,15,18,"Works well, but could be thinner",4,2023-01-10
16,16,1,"Great VR immersion, but heavy after a while",4,2023-07-15
17,17,3,The game was addictive,5,2023-11-18
18,18,13,Very comfortable to wear for long sessions,5,2023-12-05
19,19,16,The educational app is good but lacks variety,3,2023-03-25
20,20,10,Very useful for virtual meetings,4,2023-08-12
